iter	R2	RMSE
131	0.9453848661	0.03719784328
132	0.9455540994	0.03714016697
133	0.9457187341	0.03708397183
134	0.9458625023	0.03703482936
135	0.9460297963	0.03697756315
136	0.9461640467	0.03693154383
137	0.9463016861	0.03688430322
138	0.9464380946	0.03683742528
139	0.9466287417	0.03677180766
140	0.9468232827	0.03670472891
141	0.9469379978	0.03666511702
142	0.947058254	0.03662354575
143	0.9472252539	0.03656573734
144	0.9473215304	0.03653236881
145	0.9474604151	0.03648417897
146	0.9476358816	0.03642320489
147	0.9477517101	0.03638289886
148	0.9478561806	0.03634650684
149	0.9480339098	0.03628451148
150	0.9482044104	0.03622493787
151	0.9483150433	0.03618622984
152	0.94842758	0.03614681315
153	0.9485231532	0.03611330428
154	0.948584843	0.03609165871
155	0.948677775	0.03605902644
156	0.9488134153	0.03601134442
157	0.9489469781	0.03596433098
158	0.9490150861	0.03594033361
159	0.9491209601	0.03590299779
160	0.9491926033	0.03587771125
161	0.9492599889	0.03585391112
162	0.9493626513	0.03581762113
163	0.9494329659	0.03579274446
164	0.9495353001	0.03575650862
165	0.9496041988	0.03573209138
166	0.9496552503	0.03571398827
167	0.9497439548	0.03568251143
168	0.9498083576	0.03565964066
169	0.9499351068	0.03561458645
170	0.950018987	0.0355847391
171	0.9500851215	0.03556118855
172	0.9501700561	0.03553092041
173	0.9502336487	0.03550824103
174	0.9503011308	0.03548415868
175	0.9504235276	0.03544043708
176	0.9504963493	0.03541439872
177	0.9505701598	0.03538798726
178	0.9506590849	0.03535614113
179	0.9507447348	0.03532544079
180	0.9508124672	0.03530114389
181	0.9509098797	0.03526617085
182	0.9509570886	0.03524920942
183	0.9510917434	0.03520078511
184	0.9512099616	0.03515821672
185	0.9513728708	0.03509947127
186	0.9514485445	0.03507214968
