iter	R2	RMSE
0	0.05119158798	0.1550424141
1	0.09999060914	0.1510027231
2	0.1463686413	0.1470606358
3	0.1883748461	0.1433966508
4	0.2286397214	0.1397944386
5	0.2679633524	0.1361844968
6	0.3042178165	0.132769375
7	0.3374055378	0.1295642423
8	0.3702680255	0.1263104061
9	0.4011232845	0.1231770993
10	0.4284291768	0.1203361976
11	0.4557251133	0.11742766
12	0.4816419315	0.1145977762
13	0.5063045671	0.1118383661
14	0.5295819043	0.1091699895
15	0.5513217328	0.106617569
16	0.5715310622	0.1041887746
17	0.5906808055	0.1018338854
18	0.6094644467	0.09946986931
19	0.6264173418	0.0972869555
20	0.6429906605	0.09510449583
21	0.65841037	0.09302798148
22	0.6727716161	0.09105142405
23	0.6866573799	0.08909862339
24	0.6997867382	0.08721198981
25	0.7126183063	0.08532785117
26	0.7241494787	0.08359843808
27	0.7354358945	0.08187036365
28	0.74596069	0.08022536858
29	0.7559652914	0.07862977965
30	0.7653584789	0.07710165342
31	0.7742049945	0.07563423602
32	0.7824003484	0.07424895688
33	0.790224126	0.07290193042
34	0.7978503189	0.07156452435
35	0.8054128757	0.07021312597
36	0.8124828654	0.06892578766
37	0.8191014899	0.06769845444
38	0.8251271748	0.06656139603
39	0.8309030201	0.06545294384
40	0.8362822955	0.06440344253
41	0.8414889955	0.06337105945
42	0.8465451889	0.06235216148
43	0.8512549716	0.06138785919
44	0.8555008962	0.06050535809
45	0.8597718101	0.05960448267
46	0.8638463755	0.05873214501
47	0.8675564057	0.05792642656
48	0.8711780242	0.05712894931
49	0.8745799608	0.05636957039
50	0.8777548713	0.05565152118
51	0.8808388975	0.0549450427
52	0.8836910373	0.05428350106
53	0.8865915189	0.05360237414
54	0.8890831758	0.05301026458
55	0.8915160182	0.0524256794
56	0.8940104847	0.05181943958
57	0.8962093859	0.05127908882
58	0.8984382468	0.05072550198
59	0.9005709241	0.05019008837
60	0.9023825577	0.04973074565
61	0.9041923611	0.04926759102
62	0.9060404301	0.04879010682
63	0.9078020804	0.04833055913
64	0.9095621707	0.04786701258
65	0.9110242547	0.04747850943
66	0.9124762615	0.04708951188
67	0.9138190972	0.04672687944
68	0.9152011147	0.04635070353
69	0.9164147223	0.04601783194
70	0.9176581769	0.04567425769
71	0.9187409846	0.04537295211
72	0.9198424791	0.04506437968
73	0.9209191001	0.04476071964
74	0.9219885167	0.04445703826
75	0.9229472161	0.04418302289
76	0.92383213	0.04392857993
77	0.9247486841	0.04366347617
78	0.9255571775	0.0434282845
79	0.9264247974	0.04317446772
80	0.927234674	0.04293618944
81	0.9280281188	0.04270145626
82	0.9286797411	0.04250771053
83	0.9294334077	0.04228251695
84	0.9301223934	0.04207559531
85	0.9307322795	0.04189157674
86	0.9313912784	0.04169182656
87	0.9319314916	0.04152736508
88	0.9324709141	0.04136249182
89	0.9329452366	0.04121697133
90	0.9334975432	0.04104687548
91	0.9339583338	0.04090442291
92	0.9343876505	0.04077125253
93	0.9348716595	0.04062059356
94	0.9353471094	0.04047205272
95	0.9357905057	0.04033303316
96	0.9361455091	0.0402213814
97	0.9365704905	0.04008731192
98	0.9369029986	0.03998210165
99	0.9372852387	0.03986081239
100	0.9376069908	0.03975842985
101	0.937974763	0.03964107973
102	0.9383300438	0.03952738453
103	0.9387405843	0.03939559678
104	0.9390717018	0.03928898261
105	0.9393867565	0.03918727105
106	0.9397102732	0.03908255221
107	0.9400104284	0.03898514368
108	0.9402834333	0.0388963343
109	0.9405928215	0.0387954436
110	0.9408842829	0.03870015816
111	0.9410853086	0.0386343013
112	0.9412990308	0.03856416165
113	0.9415111801	0.03849441183
114	0.9417199961	0.03842563427
115	0.9419545335	0.0383482378
116	0.9421818427	0.03827307726
117	0.9424277097	0.03819161399
118	0.9427101982	0.03809780185
119	0.9429308627	0.03802435997
120	0.943192479	0.03793710422
121	0.9433889239	0.03787145268
122	0.9435771784	0.03780843136
123	0.9438063318	0.03773157641
124	0.9440411099	0.03765267234
125	0.9442243597	0.03759097076
126	0.9443747863	0.0375402452
127	0.9445915885	0.03746701624
128	0.9448202374	0.03738963045
129	0.9450096388	0.03732540639
130	0.9452096673	0.03725745859
